"region,""ålder"",""kön"",""1969"",""1979"",""1989"",""1999"",""2009"",""2019"""
"05 Östergötlands län,""25-34 år"",""kvinnor"",23429,28400,25366,26533,24386,31018"
"05 Östergötlands län,""35-44 år"",""män"",21412,24805,29216,27566,29353,27992"
"05 Östergötlands län,""35-44 år"",""kvinnor"",21441,23774,28318,25859,27918,26453"
"05 Östergötlands län,""45-54 år"",""män"",24861,20805,24137,28611,27473,30423"
"05 Östergötlands län,""45-54 år"",""kvinnor"",24891,21264,23431,28183,26187,29083"
"05 Östergötlands län,""55-64 år"",""män"",23383,22991,19191,22826,27361,26827"
"05 Östergötlands län,""55-64 år"",""kvinnor"",24001,23749,20438,22789,27425,25998"
"05 Östergötlands län,""65-74 år"",""män"",16118,18304,18618,16170,20262,24687"
"05 Östergötlands län,""65-74 år"",""kvinnor"",18194,21271,21564,18679,21171,25735"
"05 Östergötlands län,""75-84 år"",""män"",6771,8397,10484,11563,11104,15259"
"05 Östergötlands län,""75-84 år"",""kvinnor"",8786,12156,15280,16532,14812,17375"
"05 Östergötlands län,""85-94 år"",""män"",1123,1527,2018,2889,3779,4243"
"05 Östergötlands län,""85-94 år"",""kvinnor"",1615,2807,4494,6119,7306,7165"
"05 Östergötlands län,""95+ år"",""män"",28,55,62,117,176,257"
"05 Östergötlands län,""95+ år"",""kvinnor"",54,128,229,394,542,779"
"06 Jönköpings län,""0-4 år"",""män"",12086,10196,10811,9062,9910,11087"
"06 Jönköpings län,""0-4 år"",""kvinnor"",11420,9648,10292,8590,9327,10613"
"06 Jönköpings län,""5-14 år"",""män"",22327,24087,20533,23615,19435,23069"
"06 Jönköpings län,""5-14 år"",""kvinnor"",21176,22752,19624,22510,18442,21808"
"06 Jönköpings län,""15-24 år"",""män"",24204,22159,24460,19947,24348,22711"
"06 Jönköpings län,""15-24 år"",""kvinnor"",22927,20598,22272,18843,22947,19975"
"06 Jönköpings län,""25-34 år"",""män"",19213,22621,21226,22104,19050,25314"
"06 Jönköpings län,""25-34 år"",""kvinnor"",18458,21710,19341,20528,17930,23064"
"06 Jönköpings län,""35-44 år"",""män"",17387,19256,22869,21633,23129,21656"
"06 Jönköpings län,""35-44 år"",""kvinnor"",17793,18769,22043,20299,22009,20388"
"06 Jönköpings län,""45-54 år"",""män"",20382,16804,18708,22517,21811,23925"
"06 Jönköpings län,""45-54 år"",""kvinnor"",19966,17499,18442,21850,20706,22824"
"06 Jönköpings län,""55-64 år"",""män"",18987,18801,15598,17590,21659,21300"
"06 Jönköpings län,""55-64 år"",""kvinnor"",18622,19074,16879,17833,21257,20309"
"06 Jönköpings län,""65-74 år"",""män"",12667,15293,15451,13255,15612,19534"
"06 Jönköpings län,""65-74 år"",""kvinnor"",14181,16750,17410,15582,16636,19640"
"06 Jönköpings län,""75-84 år"",""män"",5607,7034,9045,9855,9162,11862"
"06 Jönköpings län,""75-84 år"",""kvinnor"",7030,9760,12374,13529,12516,13874"
"06 Jönköpings län,""85-94 år"",""män"",1118,1292,1785,2608,3373,3556"
"06 Jönköpings län,""85-94 år"",""kvinnor"",1358,2358,3651,5076,6129,6135"
"06 Jönköpings län,""95+ år"",""män"",36,58,67,121,155,245"
"06 Jönköpings län,""95+ år"",""kvinnor"",53,112,184,319,501,710"
"07 Kronobergs län,""0-4 år"",""män"",6470,5619,5609,4576,5301,6194"
"07 Kronobergs län,""0-4 år"",""kvinnor"",5883,5312,5315,4365,5009,5810"
"07 Kronobergs län,""5-14 år"",""män"",11562,12928,11331,12092,10118,12735"
"07 Kronobergs län,""5-14 år"",""kvinnor"",10803,12039,10684,11288,9624,11985"
"07 Kronobergs län,""15-24 år"",""män"",12832,11648,13237,11551,13151,12742"
"07 Kronobergs län,""15-24 år"",""kvinnor"",12119,10849,11880,10708,12128,11128"
"07 Kronobergs län,""25-34 år"",""män"",10726,12898,11400,11705,11265,14179"
"07 Kronobergs län,""25-34 år"",""kvinnor"",9754,11987,10626,10602,10012,12656"
"07 Kronobergs län,""35-44 år"",""män"",9642,10748,13098,11375,12242,12376"
"07 Kronobergs län,""35-44 år"",""kvinnor"",9418,10066,12388,10907,11540,11518"
"07 Kronobergs län,""45-54 år"",""män"",10704,9407,10596,12813,11567,12885"
"07 Kronobergs län,""45-54 år"",""kvinnor"",9796,9464,10091,12315,11196,12145"
"07 Kronobergs län,""55-64 år"",""män"",10362,9948,8789,10045,12372,11383"
"07 Kronobergs län,""55-64 år"",""kvinnor"",9698,9511,9147,9762,11922,11028"
"07 Kronobergs län,""65-74 år"",""män"",7735,8567,8343,7558,8974,11190"
"07 Kronobergs län,""65-74 år"",""kvinnor"",8057,8748,8793,8491,9024,11063"
"07 Kronobergs län,""75-84 år"",""män"",3583,4477,5119,5369,5338,6870"
"07 Kronobergs län,""75-84 år"",""kvinnor"",4124,5713,6539,6940,6851,7485"
"07 Kronobergs län,""85-94 år"",""män"",737,941,1192,1536,1880,2094"
"07 Kronobergs län,""85-94 år"",""kvinnor"",876,1425,2226,2857,3233,3469"
"07 Kronobergs län,""95+ år"",""män"",22,38,51,67,94,144"
"07 Kronobergs län,""95+ år"",""kvinnor"",50,68,135,227,321,390"
"08 Kalmar län,""0-4 år"",""män"",8672,7099,7532,5628,5799,6727"
"08 Kalmar län,""0-4 år"",""kvinnor"",8260,6617,7120,5403,5540,6409"
"08 Kalmar län,""5-14 år"",""män"",16468,17214,14491,16217,12065,14136"
"08 Kalmar län,""5-14 år"",""kvinnor"",15830,16262,13494,15522,11354,13361"
"08 Kalmar län,""15-24 år"",""män"",18302,16161,16870,13836,16130,13777"
"08 Kalmar län,""15-24 år"",""kvinnor"",16931,15226,15408,12605,15090,12027"
"08 Kalmar län,""25-34 år"",""män"",14821,17340,14965,14511,12138,15504"
"08 Kalmar län,""25-34 år"",""kvinnor"",13803,15882,14012,13447,10962,13969"
"08 Kalmar län,""35-44 år"",""män"",13452,14883,17475,15234,14873,13400"
"08 Kalmar län,""35-44 år"",""kvinnor"",13152,14115,16269,14809,14319,12735"
"08 Kalmar län,""45-54 år"",""män"",15685,13021,14583,17346,15373,15854"
"08 Kalmar län,""45-54 år"",""kvinnor"",15168,12998,14027,16464,15208,15222"
"08 Kalmar län,""55-64 år"",""män"",16333,14532,12223,14133,17086,15514"
"08 Kalmar län,""55-64 år"",""kvinnor"",15827,14736,12726,13932,16615,15470"
"08 Kalmar län,""65-74 år"",""män"",11635,13204,12202,10685,13161,16111"
"08 Kalmar län,""65-74 år"",""kvinnor"",12412,14177,13589,12114,13502,16023"
"08 Kalmar län,""75-84 år"",""män"",5065,6375,7520,7560,7355,9989"
"08 Kalmar län,""75-84 år"",""kvinnor"",6118,8402,10189,10446,9479,11170"
"08 Kalmar län,""85-94 år"",""män"",1022,1168,1604,2118,2494,2772"
"08 Kalmar län,""85-94 år"",""kvinnor"",1259,1901,3056,4115,4613,4619"
"08 Kalmar län,""95+ år"",""män"",32,42,58,90,107,172"
"08 Kalmar län,""95+ år"",""kvinnor"",51,93,151,286,376,485"
"09 Gotlands län,""0-4 år"",""män"",2035,1732,1859,1390,1419,1467"
"09 Gotlands län,""0-4 år"",""kvinnor"",1878,1619,1923,1332,1331,1343"
"09 Gotlands län,""5-14 år"",""män"",4237,4096,3664,4096,2883,3351"
"09 Gotlands län,""5-14 år"",""kvinnor"",3945,3846,3454,4020,2751,3136"
"09 Gotlands län,""15-24 år"",""män"",4465,4173,3936,3563,4103,3346"
"09 Gotlands län,""15-24 år"",""kvinnor"",4074,3861,3771,3267,3880,2878"
"09 Gotlands län,""25-34 år"",""män"",3267,4269,3838,3453,2809,3519"
"09 Gotlands län,""25-34 år"",""kvinnor"",3060,3946,3720,3342,2584,3270"
"09 Gotlands län,""35-44 år"",""män"",2881,3342,4368,3907,3588,3129"
"09 Gotlands län,""35-44 år"",""kvinnor"",2937,3160,4111,3875,3595,3104"
"09 Gotlands län,""45-54 år"",""män"",3291,2832,3325,4334,3941,3821"
"09 Gotlands län,""45-54 år"",""kvinnor"",3215,2848,3198,4149,4055,3911"
"09 Gotlands län,""55-64 år"",""män"",3386,3037,2698,3225,4256,3982"
"09 Gotlands län,""55-64 år"",""kvinnor"",3360,3089,2825,3228,4227,4150"
"09 Gotlands län,""65-74 år"",""män"",2372,2736,2541,2346,3159,4108"
"09 Gotlands län,""65-74 år"",""kvinnor"",2601,2998,2868,2679,3207,4186"
"09 Gotlands län,""75-84 år"",""män"",1108,1275,1565,1609,1618,2448"
"09 Gotlands län,""75-84 år"",""kvinnor"",1333,1734,2168,2194,2181,2712"
"09 Gotlands län,""85-94 år"",""män"",239,252,321,427,524,613"
"09 Gotlands län,""85-94 år"",""kvinnor"",273,394,635,902,978,1073"
"09 Gotlands län,""95+ år"",""män"",5,2,18,19,30,32"
"09 Gotlands län,""95+ år"",""kvinnor"",15,20,34,71,102,107"
"10 Blekinge län,""0-4 år"",""män"",5908,4729,4571,3727,4209,4269"
"10 Blekinge län,""0-4 år"",""kvinnor"",5468,4503,4167,3510,3917,4082"
"10 Blekinge län,""5-14 år"",""män"",10407,11137,9267,9685,8146,9562"
"10 Blekinge län,""5-14 år"",""kvinnor"",9887,10657,8648,9134,7581,9144"
"10 Blekinge län,""15-24 år"",""män"",11924,10761,10646,9577,10294,9866"
"10 Blekinge län,""15-24 år"",""kvinnor"",11009,9501,9750,8335,8884,7818"
"10 Blekinge län,""25-34 år"",""män"",10430,10763,9242,10133,9351,10312"
"10 Blekinge län,""25-34 år"",""kvinnor"",9498,10274,8571,9048,7671,8923"
"10 Blekinge län,""35-44 år"",""män"",8917,10141,10645,9579,10355,9285"
"10 Blekinge län,""35-44 år"",""kvinnor"",8315,9604,10370,9077,9671,8632"
"10 Blekinge län,""45-54 år"",""män"",9468,8694,9799,10668,9761,10715"
"10 Blekinge län,""45-54 år"",""kvinnor"",9328,8318,9415,10519,9324,10071"
"10 Blekinge län,""55-64 år"",""män"",9692,8820,8058,9397,10416,9631"
"10 Blekinge län,""55-64 år"",""kvinnor"",9588,9073,8026,9242,10514,9329"
"10 Blekinge län,""65-74 år"",""män"",6711,7806,7145,6921,8554,9507"
"10 Blekinge län,""65-74 år"",""kvinnor"",7484,8520,8139,7489,8734,9885"
"10 Blekinge län,""75-84 år"",""män"",2850,3699,4398,4444,4749,6364"
"10 Blekinge län,""75-84 år"",""kvinnor"",3943,5152,6214,6275,5893,7153"
"10 Blekinge län,""85-94 år"",""män"",643,631,917,1206,1491,1803"
"10 Blekinge län,""85-94 år"",""kvinnor"",852,1264,1838,2464,2790,2844"
