"region,""ålder"",""kön"",""1969"",""1979"",""1989"",""1999"",""2009"",""2019"""
"19 Västmanlands län,""15-24 år"",""kvinnor"",20006,17338,17485,13443,16325,14323"
"19 Västmanlands län,""25-34 år"",""män"",19254,20321,18036,17418,14144,18930"
"19 Västmanlands län,""25-34 år"",""kvinnor"",17739,18785,15891,16073,13332,17856"
"19 Västmanlands län,""35-44 år"",""män"",15159,17579,19203,17776,17519,16038"
"19 Västmanlands län,""35-44 år"",""kvinnor"",14880,16676,18363,16294,16642,15559"
"19 Västmanlands län,""45-54 år"",""män"",16540,14055,16648,18564,16757,18397"
"19 Västmanlands län,""45-54 år"",""kvinnor"",16352,14220,16057,18127,15830,17628"
"19 Västmanlands län,""55-64 år"",""män"",14825,14818,12796,15474,16906,16514"
"19 Västmanlands län,""55-64 år"",""kvinnor"",13895,15412,13434,15352,16899,15937"
"19 Västmanlands län,""65-74 år"",""män"",9021,11555,11677,10627,12884,15247"
"19 Västmanlands län,""65-74 år"",""kvinnor"",9855,12234,13601,12247,13531,16006"
"19 Västmanlands län,""75-84 år"",""män"",3839,4783,6473,7207,6948,9788"
"19 Västmanlands län,""75-84 år"",""kvinnor"",4980,6670,8755,10375,9102,11096"
"19 Västmanlands län,""85-94 år"",""män"",626,856,1146,1777,2211,2719"
"19 Västmanlands län,""85-94 år"",""kvinnor"",922,1569,2457,3596,4328,4434"
"19 Västmanlands län,""95+ år"",""män"",16,23,27,45,92,178"
"19 Västmanlands län,""95+ år"",""kvinnor"",25,64,139,236,347,526"
"20 Dalarnas län,""0-4 år"",""män"",9589,8293,9335,6942,7192,8140"
"20 Dalarnas län,""0-4 år"",""kvinnor"",9170,7900,8784,6430,6996,7721"
"20 Dalarnas län,""5-14 år"",""män"",19634,19754,17474,19656,14691,16923"
"20 Dalarnas län,""5-14 år"",""kvinnor"",18564,18821,16515,18489,13793,16252"
"20 Dalarnas län,""15-24 år"",""män"",21800,19754,19410,16176,19054,16242"
"20 Dalarnas län,""15-24 år"",""kvinnor"",19486,18125,17801,15044,17374,13794"
"20 Dalarnas län,""25-34 år"",""män"",16486,21524,18183,16771,14114,18318"
"20 Dalarnas län,""25-34 år"",""kvinnor"",15364,19283,17247,15714,13070,16721"
"20 Dalarnas län,""35-44 år"",""män"",15475,17345,21876,18434,17522,15824"
"20 Dalarnas län,""35-44 år"",""kvinnor"",15390,16259,19938,17865,17003,15260"
"20 Dalarnas län,""45-54 år"",""män"",19363,15280,17162,21519,18517,18219"
"20 Dalarnas län,""45-54 år"",""kvinnor"",18839,15512,16393,19918,18215,17723"
"20 Dalarnas län,""55-64 år"",""män"",18537,18053,14338,16372,20772,18155"
"20 Dalarnas län,""55-64 år"",""kvinnor"",18387,18395,15166,16095,19724,18005"
"20 Dalarnas län,""65-74 år"",""män"",12909,15024,14952,12232,14979,19157"
"20 Dalarnas län,""65-74 år"",""kvinnor"",14219,16699,16825,14037,15313,18660"
"20 Dalarnas län,""75-84 år"",""män"",5739,6853,8471,9199,8452,11428"
"20 Dalarnas län,""75-84 år"",""kvinnor"",6911,9355,11740,12647,11042,12510"
"20 Dalarnas län,""85-94 år"",""män"",951,1182,1595,2216,2808,3074"
"20 Dalarnas län,""85-94 år"",""kvinnor"",1228,2028,3243,4474,5318,5160"
"20 Dalarnas län,""95+ år"",""män"",19,32,66,74,119,161"
"20 Dalarnas län,""95+ år"",""kvinnor"",27,74,153,271,386,519"
"21 Gävleborgs län,""0-4 år"",""män"",10354,7895,8861,6752,7205,7937"
"21 Gävleborgs län,""0-4 år"",""kvinnor"",9705,7660,8487,6304,6758,7475"
"21 Gävleborgs län,""5-14 år"",""män"",20228,20338,16243,18697,14443,16569"
"21 Gävleborgs län,""5-14 år"",""kvinnor"",19228,19310,15409,17756,13680,15823"
"21 Gävleborgs län,""15-24 år"",""män"",22868,20016,20173,15746,18669,16461"
"21 Gävleborgs län,""15-24 år"",""kvinnor"",20564,18628,18402,14706,17311,14493"
"21 Gävleborgs län,""25-34 år"",""män"",18013,21860,18733,18036,14220,18228"
"21 Gävleborgs län,""25-34 år"",""kvinnor"",16755,20079,17245,16604,13311,17082"
"21 Gävleborgs län,""35-44 år"",""män"",17068,18397,21732,18479,18341,15534"
"21 Gävleborgs län,""35-44 år"",""kvinnor"",16430,17302,20368,17615,17640,15060"
"21 Gävleborgs län,""45-54 år"",""män"",19629,16626,17904,21154,18606,18991"
"21 Gävleborgs län,""45-54 år"",""kvinnor"",19361,16217,17083,20177,17978,18500"
"21 Gävleborgs län,""55-64 år"",""män"",19261,18079,15287,16895,20266,18207"
"21 Gävleborgs län,""55-64 år"",""kvinnor"",19237,18739,15593,16600,19784,17828"
"21 Gävleborgs län,""65-74 år"",""män"",13753,15255,14521,12902,15054,18486"
"21 Gävleborgs län,""65-74 år"",""kvinnor"",15081,16980,16949,14310,15473,18655"
"21 Gävleborgs län,""75-84 år"",""män"",5732,7190,8343,8635,8463,11160"
"21 Gävleborgs län,""75-84 år"",""kvinnor"",7242,9955,11773,12444,10918,12521"
"21 Gävleborgs län,""85-94 år"",""män"",941,1193,1584,2083,2576,2903"
"21 Gävleborgs län,""85-94 år"",""kvinnor"",1272,2117,3337,4488,5054,4881"
"21 Gävleborgs län,""95+ år"",""män"",13,43,55,62,109,146"
"21 Gävleborgs län,""95+ år"",""kvinnor"",27,80,141,272,361,442"
"22 Västernorrlands län,""0-4 år"",""män"",9309,7711,7779,5951,6484,6721"
"22 Västernorrlands län,""0-4 år"",""kvinnor"",8796,7316,7357,5717,6253,6334"
"22 Västernorrlands län,""5-14 år"",""män"",18260,18675,15348,16052,12954,14176"
"22 Västernorrlands län,""5-14 år"",""kvinnor"",17285,17823,14438,15214,12357,13575"
"22 Västernorrlands län,""15-24 år"",""män"",20864,17971,18268,14749,15660,13893"
"22 Västernorrlands län,""15-24 år"",""kvinnor"",18614,16397,16605,13185,14505,12037"
"22 Västernorrlands län,""25-34 år"",""män"",16424,19450,16295,15809,12824,15384"
"22 Västernorrlands län,""25-34 år"",""kvinnor"",15498,17921,14911,14583,11892,13862"
"22 Västernorrlands län,""35-44 år"",""män"",16032,16832,19377,16103,16069,13875"
"22 Västernorrlands län,""35-44 år"",""kvinnor"",15855,16025,18063,15204,15576,13290"
"22 Västernorrlands län,""45-54 år"",""män"",18061,15413,16368,18688,16122,16305"
"22 Västernorrlands län,""45-54 år"",""kvinnor"",17550,15578,15724,17743,15421,15917"
"22 Västernorrlands län,""55-64 år"",""män"",17574,16536,14137,15271,17796,15486"
"22 Västernorrlands län,""55-64 år"",""kvinnor"",17947,16691,14843,14994,17112,15062"
"22 Västernorrlands län,""65-74 år"",""män"",12373,13830,13189,11714,13447,15792"
"22 Västernorrlands län,""65-74 år"",""kvinnor"",13436,15641,14813,13363,13788,15681"
"22 Västernorrlands län,""75-84 år"",""män"",5048,6483,7540,7826,7568,9678"
"22 Västernorrlands län,""75-84 år"",""kvinnor"",6448,8574,10820,10876,10194,10803"
"22 Västernorrlands län,""85-94 år"",""män"",814,1016,1498,1898,2263,2556"
"22 Västernorrlands län,""85-94 år"",""kvinnor"",1120,1920,2944,4051,4360,4405"
"22 Västernorrlands län,""95+ år"",""män"",18,33,54,73,75,116"
"22 Västernorrlands län,""95+ år"",""kvinnor"",33,59,117,235,322,399"
"23 Jämtlands län,""0-4 år"",""män"",4206,3737,4441,3123,3407,3800"
"23 Jämtlands län,""0-4 år"",""kvinnor"",3968,3614,4094,2923,3334,3450"
"23 Jämtlands län,""5-14 år"",""män"",9148,9117,7918,8952,6443,7612"
"23 Jämtlands län,""5-14 år"",""kvinnor"",8569,8648,7478,8388,6276,7310"
"23 Jämtlands län,""15-24 år"",""män"",10411,9183,9136,7636,8654,7336"
"23 Jämtlands län,""15-24 år"",""kvinnor"",9060,8446,8527,7179,8062,6527"
"23 Jämtlands län,""25-34 år"",""män"",7184,9821,8807,8388,6769,8728"
"23 Jämtlands län,""25-34 år"",""kvinnor"",6815,8778,8177,7665,6337,7982"
"23 Jämtlands län,""35-44 år"",""män"",7291,7891,10065,8606,8324,7455"
"23 Jämtlands län,""35-44 år"",""kvinnor"",7253,7543,9175,8301,7883,7132"
"23 Jämtlands län,""45-54 år"",""män"",9533,7375,7867,9723,8443,8442"
"23 Jämtlands län,""45-54 år"",""kvinnor"",9056,7302,7499,9076,8285,8056"
"23 Jämtlands län,""55-64 år"",""män"",9408,8967,6909,7458,9334,8137"
"23 Jämtlands län,""55-64 år"",""kvinnor"",8387,8708,7064,7279,8826,8079"
"23 Jämtlands län,""65-74 år"",""män"",6776,7645,7398,5829,6720,8478"
"23 Jämtlands län,""65-74 år"",""kvinnor"",7126,7428,7872,6416,6664,8197"
"23 Jämtlands län,""75-84 år"",""män"",3395,3717,4349,4511,3876,4901"
"23 Jämtlands län,""75-84 år"",""kvinnor"",3525,4784,5271,5826,4942,5353"
"23 Jämtlands län,""85-94 år"",""män"",609,777,940,1170,1297,1345"
"23 Jämtlands län,""85-94 år"",""kvinnor"",677,1100,1670,2093,2522,2167"
"23 Jämtlands län,""95+ år"",""män"",19,28,44,36,62,80"
"23 Jämtlands län,""95+ år"",""kvinnor"",20,44,88,127,206,243"
"24 Västerbottens län,""0-4 år"",""män"",8631,7720,8715,6633,7306,7841"
"24 Västerbottens län,""0-4 år"",""kvinnor"",8198,7539,8177,6375,6841,7305"
"24 Västerbottens län,""5-14 år"",""män"",17553,17317,15939,18031,13402,15797"
"24 Västerbottens län,""5-14 år"",""kvinnor"",16505,16371,15571,16942,12979,14872"
"24 Västerbottens län,""15-24 år"",""män"",19232,17716,17858,17313,19846,17171"
"24 Västerbottens län,""15-24 år"",""kvinnor"",18053,16577,16714,17029,18576,15863"
"24 Västerbottens län,""25-34 år"",""män"",14946,19037,17448,17635,17108,20587"
"24 Västerbottens län,""25-34 år"",""kvinnor"",14508,17397,16321,16355,15292,18530"
"24 Västerbottens län,""35-44 år"",""män"",14040,15015,18841,16964,16630,16524"
"24 Västerbottens län,""35-44 år"",""kvinnor"",14056,14634,17455,16157,15845,15463"
"24 Västerbottens län,""45-54 år"",""män"",15891,13618,14632,18242,16532,16641"
"24 Västerbottens län,""45-54 år"",""kvinnor"",15078,13757,14411,17115,16011,15953"
"24 Västerbottens län,""55-64 år"",""män"",14467,14425,12658,13863,17320,15954"
"24 Västerbottens län,""55-64 år"",""kvinnor"",13484,14314,13277,13938,16483,15603"
"24 Västerbottens län,""65-74 år"",""män"",9648,11234,11590,10648,12223,15605"
"24 Västerbottens län,""65-74 år"",""kvinnor"",9718,11804,12945,12136,13014,15383"
"24 Västerbottens län,""75-84 år"",""män"",3926,4939,6096,6978,7220,8922"
"24 Västerbottens län,""75-84 år"",""kvinnor"",4303,6319,8100,9567,9523,10445"
"24 Västerbottens län,""85-94 år"",""män"",579,833,1114,1541,2136,2546"
"24 Västerbottens län,""85-94 år"",""kvinnor"",689,1259,2126,3035,3919,4201"
"24 Västerbottens län,""95+ år"",""män"",12,26,44,44,82,118"
"24 Västerbottens län,""95+ år"",""kvinnor"",26,47,102,169,260,412"
"25 Norrbottens län,""0-4 år"",""män"",10198,8508,8610,6478,6303,6443"
"25 Norrbottens län,""0-4 år"",""kvinnor"",9801,8081,8181,6009,5783,6056"
"25 Norrbottens län,""5-14 år"",""män"",21173,20419,16160,17521,12978,13498"
"25 Norrbottens län,""5-14 år"",""kvinnor"",19979,19559,15275,16598,12262,12643"
"25 Norrbottens län,""15-24 år"",""män"",22298,20575,19828,15697,17716,15444"
"25 Norrbottens län,""15-24 år"",""kvinnor"",20165,18790,17755,13763,15420,12347"
"25 Norrbottens län,""25-34 år"",""män"",17406,21851,18619,17173,13471,17261"
"25 Norrbottens län,""25-34 år"",""kvinnor"",16506,19505,16852,15349,11559,14478"
"25 Norrbottens län,""35-44 år"",""män"",16667,17836,20544,17974,16476,13867"
"25 Norrbottens län,""35-44 år"",""kvinnor"",15655,16709,18764,16837,15579,12718"
"25 Norrbottens län,""45-54 år"",""män"",16472,15822,16704,19803,17382,16414"
"25 Norrbottens län,""45-54 år"",""kvinnor"",15177,14977,15868,18388,16645,15744"
"25 Norrbottens län,""55-64 år"",""män"",14562,14594,14293,15619,18599,16500"
"25 Norrbottens län,""55-64 år"",""kvinnor"",13659,14044,14191,15253,17644,16047"
"25 Norrbottens län,""65-74 år"",""män"",8797,11036,11365,11957,13630,16317"
"25 Norrbottens län,""65-74 år"",""kvinnor"",9325,11704,12337,12847,13992,15979"
"25 Norrbottens län,""75-84 år"",""män"",3335,4669,5945,6781,7744,9759"
"25 Norrbottens län,""75-84 år"",""kvinnor"",3972,6196,8186,9136,9910,11100"
"25 Norrbottens län,""85-94 år"",""män"",484,749,1049,1561,1963,2675"
"25 Norrbottens län,""85-94 år"",""kvinnor"",673,1283,2166,3113,3629,4372"
"25 Norrbottens län,""95+ år"",""män"",16,21,26,37,73,108"
"25 Norrbottens län,""95+ år"",""kvinnor"",26,55,120,200,261,323"
